Cost Center,Item1,Item2,Frequency,Total Revenue
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,EGGS,70,351.42001259326935
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,FRIES,79,351.25999760627747
Hospital B,ONION RINGS,QUESADILLA CHEESE,45,347.66000604629517
Hospital B,SIDE 1.29,TAILGATE.,37,346.97999000549316
Hospital B,FRIES,SMARTWATER 1L,24,345.8899962902069
Hospital B,CEREAL HOT 8OZ,SMARTWATER 1L,25,345.6000006198883
Hospital B,COKE ZERO BOTTLE 20 OZ,SIDE 1.29,99,345.26999378204346
Hospital B,QUESADILLA MEAT,SMARTWATER 1L,16,344.8399980068207
Hospital B,BOTTLE COKE,ENTREE 4.29,56,344.1899970769882
Hospital B,CHICKEN BREAST GRILLED,ENT -PREMIUM SIDE 1.39,70,342.99999594688416
Hospital B,BOTTLE COKE,BURGER,35,342.82999670505524
Hospital A,ADD A BEVERAGE $1,POWER BOWL,39,342.61999130249023
Hospital B,BREAD .99,SIDE 1.99,102,339.670001745224
Hospital B,ENT -PREMIUM SIDE 1.39,ENTREE 5.99,25,338.419988155365
Hospital B,SMARTWATER 1L,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,20,334.8299996852875
Hospital B,ENTREE 4.79,WATER SMARTWATER 20OZ,42,334.7800009250641
Hospital B,BAKED SWEET POTATO,SMARTWATER 1L,16,334.25999999046326
Hospital B,IMP-CANDY BAR,MIX IT UP SALAD,38,333.8299903869629
Hospital B,FRIES,TOPO CHICO TWIST OF LIME 20OZ,75,331.5499978065491
Hospital B,BOTTLE DR. PEPPER 20OZ,FRIES,62,331.27999901771545
Hospital B,CHORIZO,REFRIED BEANS,89,328.64999294281006
Hospital B,BACON 3 SLICES,TOPO CHICO TWIST OF LIME 20OZ,70,328.5299940109253
Hospital B,HARD BOILED EGG,HOME FRIES,45,327.65999031066895
Hospital B,SMARTWATER 1L,TAILGATE.,16,326.0899968147278
Hospital B,COFFEE 20OZ,OMELET,33,325.06999802589417
Hospital B,ENTREE 4.29,MIX IT UP SALAD,31,324.1599931716919
Hospital A,ADD A BEVERAGE $1,NOODLES,37,323.6399917602539
Hospital B,BREAKFAST TACO,REFRIED BEANS,65,322.959996342659
Hospital B,CHICKEN TENDERS 3,GRILL TOPPINGS,65,322.35999178886414
Hospital B,CARVED-DELI,LARGE M&M COOKIE,32,321.3499929904938
Hospital B,BISCUIT W/GRAVY,CHORIZO,47,320.7999966144562
Hospital B,SALMON ENTRÉE,TOPO CHICO TWIST OF LIME 20OZ,35,320.21999073028564
Hospital B,MIX IT UP SALAD,SIDE 1.99,36,317.3399932384491
Hospital B,MIX IT UP SALAD,WATER SMARTWATER ALKALINE 33.8OZ,29,315.5199964046478
Hospital B,EGGS,TOAST 1 SLICE,125,315.19000256061554
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,SIDE 1.29,101,314.57999444007874
Hospital B,GOURMET CAKE,STIR FRIDAY,31,314.3999934196472
Hospital A,ADD A BEVERAGE $1,WHOLE AVOCADO,63,314.0199947357178
Hospital B,QUESADILLA CHEESE,SIDE 1.29,43,313.26000452041626
Hospital B,CHICKEN TENDERS 3,QUESADILLA MEAT,24,313.1899983882904
Hospital B,CEREAL HOT 8OZ,COFFEE 16OZ,59,312.3999900817871
Hospital B,HOME FRIES,PANCAKE 1,45,312.3799967765808
Hospital B,REFRIED BEANS,SMARTWATER 1L,23,311.2699987888336
Hospital A,ADD A BEVERAGE $1,ADD A COOKIE,152,311.0
Hospital B,GOURMET CAKE,TOPO CHICO TWIST OF LIME 20OZ,62,310.6999979019165
Hospital B,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,MIX IT UP SALAD,30,309.62999081611633
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,HOME FRIES,63,309.3899927139282
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,MIX IT UP SALAD,31,308.14999198913574
Hospital B,AHA-CITRUS& G. TEA,MIX IT UP SALAD,31,307.3899929523468
Hospital B,BOTTLE COKE DIET 20OZ,QUESADILLA MEAT,21,305.9399917125702
Hospital B,GOURMET CAKE,SALMON ENTRÉE,32,305.8499929904938
Hospital A,ADD A BEVERAGE $1,BUDDHA BOWL,18,305.6399917602539
Hospital B,COFFEE 12OZ,PANCAKE 1,41,305.57999873161316
Hospital A,FRUIT CUPS,OATMEAL MEDIUM,32,304.6500016450882
Hospital B,MIX IT UP SALAD,WATER SMARTWATER ANTI OX 33.8OZ,28,304.6399965286255
Hospital B,CEREAL HOT 8OZ,HARD BOILED EGG,58,304.1099932193756
Hospital B,TOPO CHICO TWIST OF LIME 20OZ,WATER SMARTWATER 20OZ,52,304.03000116348267
Hospital B,BREAKFAST TACO,HASH BROWNS,45,303.44999408721924
Hospital B,SMARTWATER 1L,TOPO CHICO TWIST OF LIME 20OZ,18,301.67000007629395
Hospital B,BURGER CHEESE,CHEETOS FLAMIN HOT,27,298.4500002861023
Hospital B,BURGER CHEESE,ENT -PREMIUM SIDE 1.39,31,297.42000019550323
Hospital B,FRESH FRUIT,HARD BOILED EGG,35,297.02999567985535
Hospital B,FRIES,SIDE 1.29,87,295.67999720573425
Hospital B,DASANI WATER 20OZ,EGGS,111,294.9900050163269
Hospital B,BISCUIT,OMELET,49,294.4500014781952
Hospital B,COFFEE 16OZ,PANCAKE 1,36,293.339994430542
Hospital B,COFFEE 12OZ,DASANI WATER 20OZ,55,292.0299987792969
Hospital B,BOTTLE DR. PEPPER 20OZ,BURGER,26,291.5799973011017
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,QUESADILLA CHEESE,36,291.120005607605
Hospital B,FRESH FRUIT,TOPO CHICO TWIST OF LIME 20OZ,44,290.6499984264374
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,QUESADILLA MEAT,22,290.09999108314514
Hospital B,BURGER CHEESE,SMARTWATER 1L,14,289.9099986553192
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,MIX IT UP SALAD,29,289.4199936389923
Hospital B,ENTREE 4.29,ENTREE 4.99,20,288.8999891281128
Hospital B,GOURMET CAKE,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,54,288.88999819755554
Hospital B,BOTTLE COKE DIET 20OZ,BURGER CHEESE,21,287.28000044822693
Hospital B,BOTTLE COKE DIET 20OZ,MIX IT UP SALAD,26,286.6899936199188
Hospital B,ENT -PREMIUM SIDE 1.39,GOURMET CAKE,68,286.3099995851517
Hospital B,SAUSAGE PATTY,SMARTWATER 1L,19,285.9799978733063
Hospital B,GRILLED CHEESE,SIDE 1.29,46,285.94999074935913
Hospital B,BOTTLE SPRITE 20OZ,QUESADILLA MEAT,20,284.5799946784973
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,CHICKEN TENDERS 3,48,284.319997549057
Hospital B,BACON 1 SLICE,BREAKFAST TACO,65,283.8899967074394
Hospital B,AHA-CITRUS& G. TEA,ENTREE 4.29,46,282.5999987125397
Hospital B,COFFEE 12OZ,HASH BROWNS,44,282.41999530792236
Hospital B,COFFEE 12OZ,HARD BOILED EGG,35,282.11999440193176
Hospital B,COFFEE 16OZ,DASANI WATER 20OZ,52,280.1699993610382
Hospital B,EGG SCRAMBLE,SAUSAGE PATTY,46,278.78999757766724
Hospital B,EGGS,OMELET,62,278.6800023317337
Hospital B,BURGER CHEESE,CHIP DORITOS NACHO CHEESE,28,278.3200001716614
Hospital B,BACON 3 SLICES,FRENCH TOAST,63,277.9199950695038
Hospital A,ADD A 12OZ COFF,FRUIT CUPS,31,277.53000152111053
Hospital B,ENTREE 4.79,FRESH FRUIT,31,276.9699990749359
Hospital B,SMARTWATER 1L,STIR FRIDAY,13,275.31999683380127
Hospital B,BURGER CHEESE,SIDE 1.99,27,275.1600008010864
Hospital B,BACON 1 SLICE,PANCAKE 1,58,273.2100011706352
Hospital B,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,TOPO CHICO TWIST OF LIME 20OZ,55,272.50999546051025
Hospital B,FRIES,WATER SMARTWATER 20OZ,52,272.02000403404236
Hospital B,BACON 1 SLICE,OMELET,52,271.7400003671646
Hospital B,HOME FRIES,MINUTE MAID ORANGE NO PULP,58,270.77999448776245
Hospital B,FRIES,ONION RINGS,66,268.6500012874603
Hospital B,ENTREE 5.99,LARGE M&M COOKIE,19,267.4199914932251
Hospital B,BISCUIT,HASH BROWNS,58,267.05999660491943
Hospital B,BACON 3 SLICES,CHORIZO,51,265.6399955749512
Hospital A,SUPERFOOD SALAD,WHOLE AVOCADO,25,265.3499927520752
Hospital B,ENTREE 4.79,TAILGATE.,19,265.1799945831299
Hospital B,MEDITERRANEAN,SIDE 1.29,32,264.74999237060547
Hospital B,BREAD .59,ENTREE 4.99,18,264.5199878811836
Hospital B,GOURMET CAKE,PHILLY,15,263.5599937438965
Hospital B,J&O -SANDWICH TURKEY & PROVOLONE ON 12 GRAIN,SMARTWATER 1L,14,261.70999693870544
Hospital A,2 FOR 2.49,ADD A BEVERAGE $1,51,261.61999893188477
Hospital B,EGGS,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,73,261.3499995470047
Hospital B,AHA-CITRUS& G. TEA,SIDE 1.29,74,261.2599971294403
Hospital B,FRIES SWEET POTATO,GOURMET CAKE,38,260.92999386787415
Hospital B,DASANI WATER 20OZ,SAUSAGE PATTY,54,260.6599950790405
Hospital B,HOT DOG,ONION RINGS,55,259.6699957847595
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,REFRIED BEANS,73,259.1399952173233
Hospital B,SAUSAGE PATTY,TOPO CHICO TWIST OF LIME 20OZ,46,257.8199939727783
Hospital B,BREAKFAST TACO,FRESH FRUIT,33,257.60999846458435
Hospital B,BOTTLEAHA SPARKLING LM/WATERMELOM,MIX IT UP SALAD,26,257.48999428749084
Hospital B,FRIES,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,59,257.0999982357025
Hospital B,CARVED-DELI,PASTA STATION,29,255.67999267578125
Hospital A,ADD A BEVERAGE $1,BOILED EGG CUP,62,255.36000061035156
Hospital B,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,SIDE 1.29,65,254.69999194145203
Hospital B,ENT-BAKED POTATO,ENTREE 4.99,15,254.39998984336853
Hospital B,ENTREE 4.99,FRIES,13,254.39998984336853
Hospital B,BREAD .99,SIDE 1.29,92,254.30999612808228
Hospital B,BACON 3 SLICES,TOAST 1 SLICE,75,254.23999500274658
Hospital B,BREAKFAST TACO,MINUTE MAID CRANBERRY GRAPE,41,254.15999698638916
Hospital B,OMELET,REFRIED BEANS,48,252.9100000858307
Hospital B,CHORIZO,SAUSAGE PATTY,35,252.7199935913086
Hospital B,BREAD .59,SIDE 1.29,95,252.01999175548553
Hospital B,BURGER VEGGIES,ONION RINGS,47,251.94000267982483
Hospital B,ENT-BAKED POTATO,ENTREE 4.29,40,251.69999837875366
Hospital B,ENTREE 4.79,ENTREE 5.99,19,251.5399932861328
Hospital B,CARVED-DELI,IMP-CANDY BAR,26,249.26999282836914
Hospital B,STIR FRIDAY,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,26,249.00999355316162
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,STIR FRIDAY,25,249.00999355316162
Hospital B,BURGER CHEESE,CHIP LAYS SR CRM ONION,24,248.82000017166138
Hospital B,BREAKFAST TACO,GOURMET CAKE,35,248.6699981689453
Hospital B,BAKED SWEET POTATO,SOUP 8 OZ,25,246.76000118255615
Hospital B,SAUSAGE PATTY,TOAST 1 SLICE,47,246.75999331474304
Hospital B,BAKED SWEET POTATO,CHICKEN TENDERS 3,21,246.13999891281128
Hospital B,FRENCH TOAST,OMELET,41,245.86999917030334
Hospital B,BACON 3 SLICES,BOTTLE DR. PEPPER 20OZ,42,243.55999660491943
Hospital A,FRUIT CUPS,RED BULL SF 12OZ,21,243.39000058174133
Hospital B,GRILL TOPPINGS,SMARTWATER 1L,19,241.6199984550476
Hospital B,LARGE M&M COOKIE,TAILGATE.,25,241.50999474525452
Hospital B,ENTREE 4.29,FRESH FRUIT,28,240.41999912261963
Hospital B,HARD BOILED EGG,SAUSAGE PATTY,33,239.9399929046631
Hospital B,BOTTLE COKE DIET 20OZ,CARVED-DELI,21,239.82999467849731
Hospital B,IMP-CANDY BAR,QUESADILLA MEAT,24,239.489999294281
Hospital B,BAKED SWEET POTATO,MIX IT UP SALAD,16,239.24999713897705
Hospital A,ADD A BEVERAGE $1,FRUIT WHOLE,93,239.0400037765503
Hospital B,BREAD .99,ENTREE 4.99,15,238.4099898338318
Hospital B,LARGE M&M COOKIE,SMARTWATER 1L,14,237.87999749183655
Hospital B,BURGER VEGGIES,FRIES SWEET POTATO,29,237.76999497413635
Hospital B,ENTREE 4.99,LARGE M&M COOKIE,14,237.4399905204773
Hospital B,CHICKEN TENDERS 3,SIDE 1.99,44,236.34999680519104
Hospital B,CHIPS MISS VICKIES JAL 1 3/8OZ,MIX IT UP SALAD,27,235.88999390602112
Hospital B,COFFEE 12OZ,EGG SCRAMBLE,31,235.35000085830688
Hospital B,MISS VICKIES ORIG,MIX IT UP SALAD,25,234.49999392032623
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,MIX IT UP SALAD,25,234.49999392032623
Hospital B,EGGS,MINUTE MAID ORANGE NO PULP,80,233.6000018119812
Hospital B,BOTTLE COKE,BREAKFAST TACO,41,232.64999723434448
Hospital B,CHIP DORITOS NACHO CHEESE,QUESADILLA MEAT,22,232.54999482631683
Hospital B,TACO TUESDAY,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,26,232.01999378204346
Hospital A,CARVED DELI SHL,FRUIT CUPS,14,231.5599970817566
Hospital B,ENT-BAKED POTATO,SALMON ENTRÉE,25,231.48999428749084
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,BURGER,24,231.07999777793884
Hospital B,FRENCH TOAST,SAUSAGE PATTY,42,230.6499946117401
Hospital B,CHICKEN TENDERS 3,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,39,230.00999665260315
Hospital B,LARGE M&M COOKIE,MEDITERRANEAN,22,229.53999495506287
Hospital B,SIDE 1.99,STIR FRIDAY,22,229.53999495506287
Hospital B,BURGER VEGGIES,GRILL TOPPINGS,47,229.43999862670898
Hospital B,COKE ZERO BOTTLE 20 OZ,MIX IT UP SALAD,24,229.12999439239502
Hospital B,BOTTLE COKE,FRIES,59,229.01999974250793
Hospital B,BACON 3 SLICES,FRESH FRUIT,33,228.36999893188477
Hospital B,LARGE M&M COOKIE,SIDE 1.29,61,228.0899977684021
Hospital B,ADD BURGER PATTY,FRIES,49,227.49000096321106
Hospital B,GOURMET CAKE,LARGE M&M COOKIE,51,226.9800000190735
Hospital B,BACON 3 SLICES,GOURMET CAKE,46,226.74999856948853
Hospital A,CHICKEN TENDER BASKET,CHOC BAG 2.99,31,226.56000518798828
Hospital B,COFFEE 20OZ,HARD BOILED EGG,29,226.2799949645996
Hospital B,FRESH FRUIT,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,35,226.07999897003174
Hospital B,EGGS,FRENCH TOAST,70,225.08000087738037
Hospital B,CHORIZO,HASH BROWNS,43,224.3099946975708
Hospital B,CEREAL HOT 8OZ,FRESH FRUIT,45,224.07000088691711
Hospital A,FRUIT CUPS,TACO BAR,8,223.64999532699585
Hospital B,FRESH FRUIT,MEDITERRANEAN,19,223.6299958229065
Hospital B,GRILLED CHEESE,SOUP 8 OZ,30,223.4699947834015
Hospital B,ADD BURGER PATTY,ENT -PREMIUM SIDE 1.39,53,223.41999971866608
Hospital B,GOURMET CAKE,SANDWICH CHICKEN BREAST,34,223.30000400543213
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,BURGER CHEESE,22,223.23000025749207
Hospital B,ENTREE 4.99,STIR FRIDAY,10,222.61999130249023
Hospital B,GOURMET CAKE,SABOR CAFE,21,222.5699954032898
Hospital B,EGGS,GOURMET CAKE,58,222.43000280857086
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,SMARTWATER 1L,12,222.25000262260437
Hospital B,BAKED SWEET POTATO,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,23,220.92000007629395
Hospital B,ENTREE 4.79,FRIES,32,220.56999897956848
Hospital B,BURGER CHEESE,WATER SMARTWATER 20OZ,21,220.02000164985657
Hospital B,GRILL TOPPINGS,QUESADILLA CHEESE,32,219.38999938964844
Hospital B,BAKED SWEET POTATO,ENTREE 5.99,11,219.3399953842163
Hospital B,DASANI WATER 20OZ,FRIES,61,219.24000120162964
Hospital A,CARVED DELI SHL,COOKIES,24,218.749995470047
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,CHICKEN BREAST GRILLED,36,218.41999673843384
Hospital B,BURGER,CHICKEN TENDERS 3,22,217.8099982738495
Hospital A,FRUIT CUPS,SUPERFOOD SALAD,17,216.5799970626831
Hospital B,STIR FRIDAY,TOPO CHICO TWIST OF LIME 20OZ,22,215.87999439239502
Hospital A,FRUIT CUPS,OATMEAL LARGE,19,215.84000253677368
Hospital A,ADD A BEVERAGE $1,RED BULL SF 12OZ,41,215.5600004196167
Hospital B,BURGER CHEESE,CHIP DORITO COOL RANCH 1.74OZ,22,215.51000010967255
Hospital B,ENTREE 4.99,WATER SMARTWATER 20OZ,12,214.61999249458313
Hospital B,BISCUIT W/GRAVY,EGG SCRAMBLE,29,213.30000066757202
Hospital B,FRESH FRUIT,FRIES,37,213.2800006866455
Hospital B,BURGER,ENTREE 4.29,23,212.65999794006348
Hospital B,BOTTLE SPRITE 20OZ,BURGER CHEESE,18,212.09999990463257
Hospital B,GRILLED CHEESE,QUESADILLA MEAT,16,211.3799967765808
Hospital B,BURGER,GOURMET CAKE,19,211.35999870300293
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,46,210.67999649047852
Hospital B,OMELET,WATER SMARTWATER 20OZ,28,210.30000233650208
Hospital B,ENTREE 4.79,LARGE M&M COOKIE,30,210.17999911308289
Hospital B,BOTTLE COKE,QUESADILLA MEAT,19,209.7899934053421
Hospital B,HASH BROWNS,SMARTWATER 1L,14,209.4699993133545
Hospital B,FRIES SWEET POTATO,QUESADILLA CHEESE,20,209.17999696731567
Hospital B,MEDITERRANEAN,WATER SMARTWATER 20OZ,17,209.04999685287476
Hospital B,MUNCH,SMARTWATER 1L,14,208.9900006055832
Hospital B,BURGER CHEESE,CHIP LAYS PLAIN,22,208.92000007629395
Hospital B,BOTTLE COKE DIET 20OZ,BURGER,19,208.27999806404114
Hospital B,CHICKEN TENDERS 3,ENTREE 4.29,28,208.16999769210815
Hospital B,CARVED-DELI,MEDITERRANEAN,23,207.73999404907227
Hospital B,BURGER CHEESE,MIX IT UP SALAD,15,207.57999801635742
Hospital B,OMELET,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,31,207.239999294281
Hospital B,BURGER,QUESADILLA CHEESE,16,207.1800012588501
Hospital B,COFFEE 16OZ,HASH BROWNS,30,206.97999238967896
Hospital B,BURGER CHEESE,CHIP LAYS BBQ,15,206.86000061035156
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,TOPO CHICO TWIST OF LIME 20OZ,41,206.09999656677246
Hospital B,GOURMET CAKE,SAUSAGE PATTY,34,206.00999665260315
Hospital B,HASH BROWNS,OMELET,27,205.31999826431274
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,J&O CHICKEN BLT,17,205.28999197483063
Hospital B,CHICKEN BREAST GRILLED,FRIES,40,204.92999839782715
Hospital B,GOURMET CAKE,J&O CHICKEN BLT,15,204.5399932861328
Hospital B,FRIES,FRIES SWEET POTATO,33,203.80999445915222
Hospital B,BAKED SWEET POTATO,GOURMET CAKE,19,203.5300009250641
Hospital B,NOODLE SHOP,SMARTWATER 1L,10,203.4499979019165
Hospital B,EGG SCRAMBLE,REFRIED BEANS,43,203.07000064849854
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,QUESADILLA MEAT,17,203.04999482631683
Hospital A,ADD A BEVERAGE $1,CHILI DOG,45,202.62999820709229
Hospital B,GOURMET CAKE,ONION RINGS,40,202.6000006198883
Hospital B,BURGER CHEESE,CHEETOS CRUNCHY,20,201.6400008201599
Hospital B,BURGER CHEESE,QUESADILLA CHEESE,15,201.22000074386597
Hospital B,BACON 1 SLICE,REFRIED BEANS,94,201.08999872207642
Hospital B,FRIES SWEET POTATO,TOPO CHICO TWIST OF LIME 20OZ,30,200.9699935913086
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,GOURMET CAKE,26,199.8900043964386
Hospital B,BOTTLE COKE DIET 20OZ,EGGS,37,199.67000019550323
Hospital A,ASIAN MIX IT UP,FRUIT CUPS,13,199.63999700546265
Hospital B,BISCUIT,HARD BOILED EGG,29,199.4999966621399
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,ENTREE 4.29,31,198.9699990749359
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,SMARTWATER 1L,12,197.53000211715698
Hospital B,COFFEE 16OZ,GOURMET CAKE,28,196.71999549865723
Hospital B,BACON 3 SLICES,TORTILLA,57,196.51999539136887
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,SAUSAGE PATTY,34,195.9599952697754
Hospital B,ENT -PREMIUM SIDE 1.39,ENT-BAKED POTATO,56,195.74999749660492
Hospital A,BVC-RED BULL TROPICAL,FRUIT CUPS,16,195.51000046730042
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,FRESH FRUIT,31,195.2699990272522
Hospital B,COFFEE 16OZ,SMARTWATER 1L,12,194.8099970817566
Hospital B,BURGER CHEESE,IMP-CANDY BAR,18,194.6699995994568
Hospital B,SIDE 1.29,STIR FRIDAY,22,194.62999439239502
Hospital B,ENTREE 4.99,ENTREE 5.99,7,194.62999153137207
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,FRESH FRUIT,24,194.1200041770935
Hospital B,BOTTLE COKE DIET 20OZ,ENT -PREMIUM SIDE 1.39,37,194.06999838352203
Hospital B,ENTREE 4.99,FRESH FRUIT,10,193.5899932384491
Hospital B,BURGER,DASANI WATER 20OZ,22,193.44999861717224
Hospital B,RECHARGECOOKIE,RECHARGEDRINK,42,193.44999742507935
Hospital B,LARGE M&M COOKIE,QUESADILLA MEAT,19,193.41000056266785
Hospital B,BOTTLE COKE DIET 20OZ,FRIES,35,192.99999952316284
Hospital B,BACON 1 SLICE,COFFEE 16OZ,34,192.4999941587448
Hospital B,GRILLED CHEESE,WATER SMARTWATER 20OZ,22,192.27999758720398
Hospital B,BOTTLE DR. PEPPER 20OZ,QUESADILLA CHEESE,20,191.8000030517578
Hospital B,ENTREE 5.99,FRESH FRUIT,13,191.63999462127686
Hospital B,BURGER,COKE ZERO BOTTLE 20 OZ,21,191.3099981546402
Hospital B,FRIES,LARGE M&M COOKIE,49,191.04000091552734
Hospital B,OMELET,TOPO CHICO TWIST OF LIME 20OZ,31,190.68999910354614
Hospital B,FRIES,GRL-TURKEY BURG,24,190.5699954032898
Hospital B,BACON 3 SLICES,CORE POWER HP MILK SHAKE CHOC 14 OZ,31,189.60000324249268
Hospital B,FRIES,SIDE 1.99,45,189.0500009059906
Hospital B,BREAKFAST TACO,COKE ZERO BOTTLE 20 OZ,36,187.91999781131744
Hospital B,SIDE 1.29,WATER SMARTWATER ALKALINE 33.8OZ,39,187.84000205993652
Hospital B,BACON 3 SLICES,MINUTE MAID ORANGE NO PULP,48,187.75999677181244
Hospital B,BLT,FRIES,41,187.65000224113464
Hospital B,QUESADILLA CHEESE,TOPO CHICO TWIST OF LIME 20OZ,22,187.61000204086304
Hospital A,FRUIT CUPS,TATOR TOTS,14,187.49999904632568
Hospital B,COFFEE 20OZ,SMARTWATER 1L,11,187.32999968528748
Hospital B,BOTTLE COKE,SIDE 1.29,56,185.90999674797058
Hospital B,SANDWICH CHICKEN BREAST,SIDE 1.29,36,185.17000222206116
Hospital B,ENT-BAKED POTATO,SIDE 1.99,43,185.07000064849854
Hospital B,CEREAL HOT 8OZ,SAUSAGE PATTY,40,185.06999611854553
Hospital B,PASTA STATION,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,18,185.03999519348145
Hospital B,BISCUIT W/GRAVY,WATER SMARTWATER 20OZ,28,184.90000367164612
Hospital B,BOTTLEAHA SPARKLING BERRY/POM,SIDE 1.29,52,184.74999809265137
Hospital B,ENTREE 4.29,LARGE M&M COOKIE,28,184.1099991798401
Hospital B,BACON 1 SLICE,HASH BROWNS,50,184.01999586820602
Hospital A,BROWNIES,CARVED DELI SHL,18,183.52999687194824
Hospital B,FRESH FRUIT,WATER SMARTWATER 20OZ,25,183.24000191688538
Hospital B,SMARTWATER 1L,SOUP 8 OZ,12,182.79000043869019
Hospital B,ONION RINGS,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,42,182.64999866485596
Hospital B,BURGER CHEESE,POPCORN SMARTFOOD WHITE CHEDDAR,17,182.63000011444092
Hospital B,HOME FRIES,TOPO CHICO TWIST OF LIME 20OZ,37,182.18999576568604
Hospital B,MEDITERRANEAN,SIDE 1.99,18,181.62999606132507
Hospital B,BURGER TURKEY,ONION RINGS,30,180.41000485420227
Hospital B,BREAKFAST TACO,MINUTE MAID APPLE 12 OZ.,28,180.3599978685379
Hospital B,BREAD 1.09,ENTREE 4.79,32,180.09999978542328
Hospital A,COOKIES,RICE KRISPIES,18,179.8600013256073
Hospital B,ENT -PREMIUM SIDE 1.39,QUESADILLA MEAT,16,179.69999587535858
Hospital B,COFFEE 16OZ,MUFFIN SANDWICH,24,179.56999373435974
Hospital B,BURGER,HOT DOG,17,178.06999707221985
Hospital B,MIGAS,SMARTWATER 1L,11,177.90000081062317
Hospital B,COKE ZERO BOTTLE 20 OZ,WATER SMARTWATER 20OZ,30,177.54000210762024
Hospital B,BURGER TURKEY,SIDE 1.29,33,177.32000350952148
Hospital B,CUCINA ITALIANO,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,18,177.04999542236328
Hospital B,COKE ZERO BOTTLE 20 OZ,FRIES,47,176.78999984264374
Hospital B,COFFEE 16OZ,HARD BOILED EGG,20,176.47999382019043
Hospital B,SAUSAGE GRAVY,SAUSAGE PATTY,30,176.33999514579773
Hospital B,QUESADILLA CHEESE,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,22,175.8500018119812
Hospital B,STIR FRIDAY,TAILGATE.,23,175.7799949645996
Hospital B,ENTREE 4.99,WATER SMARTWATER ALKALINE 33.8OZ,9,175.7099940776825
Hospital B,CHIP DORITOS NACHO CHEESE,SMARTWATER 1L,12,175.67999958992004
Hospital B,GRILL TOPPINGS,SIDE 1.29,58,175.43999481201172
Hospital B,CEREAL HOT 8OZ,COFFEE 20OZ,29,175.2699978351593
Hospital B,CHICKEN TENDERS 3,ENT-BAKED POTATO,30,174.36999821662903
Hospital B,MEDITERRANEAN,WATER SMARTWATER ANTI OX 33.8OZ,16,174.07999801635742
Hospital B,BOTTLE COKE DIET 20OZ,BREAKFAST TACO,25,173.60999822616577
Hospital A,ADD A BEVERAGE $1,SOUP 16OZ,44,173.57000041007996
Hospital A,BROWNIES,CHICKEN TENDER BASKET,22,173.4500036239624
Hospital B,CUCINA ITALIANO,SMARTWATER 1L,9,173.11999773979187
Hospital B,SANDWICH CHICKEN BREAST,SMARTWATER 1L,11,173.00000071525574
Hospital B,CHICKEN TENDERS 3,SOUP 8 OZ,31,172.97999906539917
Hospital B,FRIES SWEET POTATO,IMPOSSIBLE BURGER ALONE,17,172.88999319076538
Hospital B,EGGS,SMART WATER,25,172.84000611305237
